	CC_ID	SRVs	SRVs %	PDB_arches	Uniprot_arches	Tot_nodes	Nodes
26	55	16	0.3837850803550012	2	0	1	2J0T_D
27	18	15	0.3597985128328136	3	1	5	2AJF_E,3KBH_E,2AJF_A,4ZS6_A,3KBH_A
28	44	14	0.3358119453106261	1	0	2	5M2O_A,5M2O_B
29	56	13	0.3118253777884384	2	0	1	3BK3_C
30	38	13	0.3118253777884384	2	0	2	5F4E_B,5F4E_A
31	48	13	0.3118253777884384	2	0	2	1KNE_P,1KNE_A
32	57	12	0.2878388102662509	2	0	1	1F47_A
33	27	11	0.2638522427440633	1	1	5	5CXB_B,3NVN_A,5CYK_B,3NVN_B,3NVQ_A
34	58	11	0.2638522427440633	2	0	1	3Q8D_A
35	33	11	0.2638522427440633	4	3	6	4NZW_B,4FZA_A,4FZA_B,4O27_B,4NZW_A,4O27_A
36	41	10	0.2398656752218757	2	0	2	3AAA_C,3AAA_A
37	59	10	0.2398656752218757	2	0	1	2SIC_I
38	61	9	0.2158791076996881	2	0	1	4NM8_B
39	28	9	0.2158791076996881	1	1	4	4WND_A,4G2V_A,3SF4_A,3SF4_D
40	10	9	0.2158791076996881	0	0	2	1GCQ_C,1EFN_A
41	60	9	0.2158791076996881	2	0	1	1MAH_A
42	16	8	0.1918925401775006	0	4	5	2J12_A,1KAC_A,2J1K_C,1P6A_A,1P69_A
43	50	8	0.1918925401775006	1	0	2	4CVW_A,4CVW_C
44	17	8	0.1918925401775006	0	2	2	2DSQ_I,1WQJ_I
45	23	8	0.1918925401775006	0	0	2	2HLE_A,4L0P_A
46	65	8	0.1918925401775006	2	0	1	5TAR_B
47	64	8	0.1918925401775006	2	0	1	4JPK_A
48	63	8	0.1918925401775006	2	0	1	4CPA_I
49	62	8	0.1918925401775006	2	0	1	1FCC_C
50	34	8	0.1918925401775006	2	0	2	4HFK_D,4HFK_B
51	25	7	0.167905972655313	0	3	4	4GXU_A,2VIS_C,2VIR_C,3LZF_A
52	67	7	0.167905972655313	2	0	1	3BX1_C
53	66	7	0.167905972655313	2	0	1	2O3B_B
54	47	7	0.167905972655313	2	0	2	5E6P_B,5E6P_A
55	68	7	0.167905972655313	2	0	1	3F1S_A
56	70	6	0.1439194051331254	2	0	1	4X4M_E
57	37	6	0.1439194051331254	2	0	2	4JEU_B,4JEU_A
58	21	6	0.1439194051331254	0	2	2	4RA0_C,2C5D_C
59	69	6	0.1439194051331254	2	0	1	3VR6_G
60	30	6	0.1439194051331254	0	2	2	3UII_A,3UIG_A
61	24	5	0.1199328376109378	2	0	2	2KSO_B,2KSO_A
62	74	5	0.1199328376109378	2	0	1	5K39_B
63	40	5	0.1199328376109378	2	0	2	2DVW_B,2DVW_A
64	72	5	0.1199328376109378	2	0	1	1UUZ_A
65	71	5	0.1199328376109378	2	0	1	1SMF_I
66	42	5	0.1199328376109378	1	0	2	4J2L_A,4J2L_C
67	73	5	0.1199328376109378	2	0	1	3R9A_A
68	22	4	0.0959462700887503	0	2	3	2GOX_B,3D5S_C,3D5R_C
69	75	4	0.0959462700887503	2	0	1	2BTF_P
70	77	4	0.0959462700887503	2	0	1	4N8V_G
71	32	4	0.0959462700887503	1	2	3	4GNK_A,4GNK_B,4EKD_A
72	76	4	0.0959462700887503	2	0	1	4HSA_A
73	79	3	0.0719597025665627	2	0	1	2AW2_B
74	82	3	0.0719597025665627	2	0	1	2OOB_A
75	78	3	0.0719597025665627	2	0	1	1N8O_E
76	46	3	0.0719597025665627	2	0	2	1KBH_B,1KBH_A
77	49	3	0.0719597025665627	1	0	2	2HRK_A,2HRK_B
78	84	3	0.0719597025665627	2	0	1	4E6K_G
79	83	3	0.0719597025665627	2	0	1	3WWN_A
80	80	3	0.0719597025665627	2	0	1	2B42_A
81	81	3	0.0719597025665627	2	0	1	2C0L_A
82	29	2	0.0479731350443751	0	1	2	3U82_B,4MYW_B
83	13	2	0.0479731350443751	0	1	2	1GL0_I,1GL1_I
84	43	2	0.0479731350443751	1	0	2	3BP8_A,3BP8_C
85	85	2	0.0479731350443751	2	0	1	1U7F_B
86	86	2	0.0479731350443751	2	0	1	2A9K_B
87	87	2	0.0479731350443751	2	0	1	4U6H_E
88	88	1	0.0239865675221875	2	0	1	1HE8_A
89	89	1	0.0239865675221875	2	0	1	1REW_C
90	90	1	0.0239865675221875	2	0	1	1YCS_A
91	91	1	0.0239865675221875	2	0	1	3RF3_C
92	92	1	0.0239865675221875	2	0	1	4JGH_D
93	93	1	0.0239865675221875	2	0	1	4LRX_A
