Run 1, Best epoch: 499, Best val_loss: 2.7829625606536865
Run 2, Best epoch: 211, Best val_loss: 6.9612298011779785
Run 3, Best epoch: 194, Best val_loss: 0.9660648703575134
Run 4, Best epoch: 337, Best val_loss: 6.94529914855957
Run 5, Best epoch: 62, Best val_loss: 0.8717672824859619
Run 6, Best epoch: 37, Best val_loss: 2.7343037128448486
Run 7, Best epoch: 14, Best val_loss: 4.0072855949401855
Run 8, Best epoch: 183, Best val_loss: 6.029242038726807
Run 9, Best epoch: 258, Best val_loss: 4.388955116271973
Run 10, Best epoch: 50, Best val_loss: 2.98415470123291
Run 11, Best epoch: 379, Best val_loss: 4.480691432952881
Run 12, Best epoch: 130, Best val_loss: 0.9166837930679321
Run 13, Best epoch: 17, Best val_loss: 1.6256569623947144
Run 14, Best epoch: 585, Best val_loss: 7.181565284729004
Run 15, Best epoch: 18, Best val_loss: 1.5277553796768188
Run 16, Best epoch: 41, Best val_loss: 2.774007797241211
Run 17, Best epoch: 18, Best val_loss: 1.5743838548660278
Run 18, Best epoch: 83, Best val_loss: 0.991054117679596
Run 19, Best epoch: 16, Best val_loss: 1.491505742073059
Run 20, Best epoch: 89, Best val_loss: 4.377130031585693
