Run 1, Best epoch: 694, Best val_loss: 2.6632637977600098
Run 2, Best epoch: 91, Best val_loss: 7.003629207611084
Run 3, Best epoch: 195, Best val_loss: 0.9258407354354858
Run 4, Best epoch: 232, Best val_loss: 6.998636245727539
Run 5, Best epoch: 46, Best val_loss: 0.9044593572616577
Run 6, Best epoch: 26, Best val_loss: 2.684624195098877
Run 7, Best epoch: 30, Best val_loss: 4.007133483886719
Run 8, Best epoch: 88, Best val_loss: 6.1077656745910645
Run 9, Best epoch: 358, Best val_loss: 4.384097576141357
Run 10, Best epoch: 292, Best val_loss: 3.045487880706787
Run 11, Best epoch: 9, Best val_loss: 4.4200849533081055
Run 12, Best epoch: 16, Best val_loss: 0.9212999939918518
Run 13, Best epoch: 9, Best val_loss: 1.6331512928009033
Run 14, Best epoch: 31, Best val_loss: 7.256708145141602
Run 15, Best epoch: 17, Best val_loss: 1.5125840902328491
Run 16, Best epoch: 18, Best val_loss: 2.7266483306884766
Run 17, Best epoch: 20, Best val_loss: 1.5776550769805908
Run 18, Best epoch: 12, Best val_loss: 1.0166925191879272
Run 19, Best epoch: 16, Best val_loss: 1.4739527702331543
Run 20, Best epoch: 12, Best val_loss: 4.289584159851074
