Run 1, Best epoch: 278, Best val_loss: 2.8624355792999268
Run 2, Best epoch: 129, Best val_loss: 2.5828840732574463
Run 3, Best epoch: 50, Best val_loss: 2.1890971660614014
Run 4, Best epoch: 112, Best val_loss: 2.548750400543213
Run 5, Best epoch: 585, Best val_loss: 2.2887637615203857
Run 6, Best epoch: 349, Best val_loss: 2.1685216426849365
Run 7, Best epoch: 18, Best val_loss: 2.846619129180908
Run 8, Best epoch: 223, Best val_loss: 2.3185007572174072
Run 9, Best epoch: 508, Best val_loss: 2.2741565704345703
Run 10, Best epoch: 467, Best val_loss: 1.821569800376892
Run 11, Best epoch: 11, Best val_loss: 2.8054330348968506
Run 12, Best epoch: 139, Best val_loss: 2.618155002593994
Run 13, Best epoch: 67, Best val_loss: 2.420137643814087
Run 14, Best epoch: 69, Best val_loss: 2.6805522441864014
Run 15, Best epoch: 44, Best val_loss: 2.3576865196228027
Run 16, Best epoch: 45, Best val_loss: 2.19307279586792
Run 17, Best epoch: 61, Best val_loss: 3.5078721046447754
Run 18, Best epoch: 249, Best val_loss: 1.9772534370422363
Run 19, Best epoch: 94, Best val_loss: 3.1096420288085938
Run 20, Best epoch: 190, Best val_loss: 2.8290915489196777
Run 21, Best epoch: 156, Best val_loss: 2.1036994457244873
Run 22, Best epoch: 26, Best val_loss: 2.417349338531494
Run 23, Best epoch: 47, Best val_loss: 2.716198682785034
Run 24, Best epoch: 257, Best val_loss: 2.014686346054077
Run 25, Best epoch: 616, Best val_loss: 2.402864456176758
Run 26, Best epoch: 446, Best val_loss: 1.9141395092010498
Run 27, Best epoch: 521, Best val_loss: 2.580838203430176
Run 28, Best epoch: 103, Best val_loss: 2.215738296508789
Run 29, Best epoch: 144, Best val_loss: 2.0320961475372314
Run 30, Best epoch: 72, Best val_loss: 1.9927982091903687
Run 31, Best epoch: 210, Best val_loss: 2.508464813232422
Run 32, Best epoch: 570, Best val_loss: 3.1431024074554443
Run 33, Best epoch: 68, Best val_loss: 3.3402762413024902
Run 34, Best epoch: 305, Best val_loss: 2.0524849891662598
Run 35, Best epoch: 408, Best val_loss: 2.2241756916046143
Run 36, Best epoch: 76, Best val_loss: 2.7293529510498047
Run 37, Best epoch: 58, Best val_loss: 2.3283445835113525
Run 38, Best epoch: 214, Best val_loss: 2.6232683658599854
Run 39, Best epoch: 441, Best val_loss: 2.256251335144043
Run 40, Best epoch: 85, Best val_loss: 2.254098415374756
Run 41, Best epoch: 324, Best val_loss: 2.26137638092041
Run 42, Best epoch: 84, Best val_loss: 2.9534146785736084
Run 43, Best epoch: 165, Best val_loss: 2.096946954727173
Run 44, Best epoch: 179, Best val_loss: 2.261014461517334
Run 45, Best epoch: 338, Best val_loss: 2.625234365463257
Run 46, Best epoch: 620, Best val_loss: 2.1602766513824463
Run 47, Best epoch: 382, Best val_loss: 1.8876121044158936
Run 48, Best epoch: 38, Best val_loss: 2.3545119762420654
