Run 1, Best epoch: 589, Best val_loss: 2.723043203353882
Run 2, Best epoch: 327, Best val_loss: 7.046997547149658
Run 3, Best epoch: 352, Best val_loss: 0.9713139533996582
Run 4, Best epoch: 219, Best val_loss: 6.955564498901367
Run 5, Best epoch: 18, Best val_loss: 0.9044751524925232
Run 6, Best epoch: 46, Best val_loss: 2.6588354110717773
Run 7, Best epoch: 28, Best val_loss: 4.016651630401611
Run 8, Best epoch: 248, Best val_loss: 5.973692417144775
Run 9, Best epoch: 467, Best val_loss: 4.399331569671631
Run 10, Best epoch: 81, Best val_loss: 2.857584238052368
Run 11, Best epoch: 17, Best val_loss: 4.3964457511901855
Run 12, Best epoch: 72, Best val_loss: 0.9268903732299805
Run 13, Best epoch: 21, Best val_loss: 1.6091405153274536
Run 14, Best epoch: 638, Best val_loss: 7.2822957038879395
Run 15, Best epoch: 25, Best val_loss: 1.5319857597351074
Run 16, Best epoch: 24, Best val_loss: 2.6946213245391846
Run 17, Best epoch: 27, Best val_loss: 1.5877536535263062
Run 18, Best epoch: 28, Best val_loss: 1.0222305059432983
Run 19, Best epoch: 15, Best val_loss: 1.4910303354263306
Run 20, Best epoch: 16, Best val_loss: 4.346493244171143
