Run 1, Best epoch: 422, Best val_loss: 1.1981867551803589
Run 2, Best epoch: 182, Best val_loss: 1.5244256258010864
Run 3, Best epoch: 209, Best val_loss: 0.6715970039367676
Run 4, Best epoch: 44, Best val_loss: 1.5662845373153687
Run 5, Best epoch: 34, Best val_loss: 0.6352804899215698
Run 6, Best epoch: 496, Best val_loss: 1.2372387647628784
Run 7, Best epoch: 170, Best val_loss: 1.5243242979049683
Run 8, Best epoch: 306, Best val_loss: 1.4605870246887207
Run 9, Best epoch: 24, Best val_loss: 1.5982826948165894
Run 10, Best epoch: 42, Best val_loss: 1.2731050252914429
Run 11, Best epoch: 34, Best val_loss: 1.6032203435897827
Run 12, Best epoch: 343, Best val_loss: 0.641335129737854
Run 13, Best epoch: 6, Best val_loss: 0.8710319995880127
Run 14, Best epoch: 7, Best val_loss: 1.5996286869049072
Run 15, Best epoch: 12, Best val_loss: 0.8316790461540222
Run 16, Best epoch: 847, Best val_loss: 1.211777687072754
Run 17, Best epoch: 0, Best val_loss: 0.8921394348144531
Run 18, Best epoch: 1, Best val_loss: 0.6768240928649902
Run 19, Best epoch: 13, Best val_loss: 0.8338769674301147
Run 20, Best epoch: 419, Best val_loss: 1.5991017818450928
