Run 1, Best epoch: 179, Best val_loss: 1.2060186862945557
Run 2, Best epoch: 119, Best val_loss: 1.5044677257537842
Run 3, Best epoch: 100, Best val_loss: 0.6770440340042114
Run 4, Best epoch: 36, Best val_loss: 1.5647008419036865
Run 5, Best epoch: 124, Best val_loss: 0.6289657354354858
Run 6, Best epoch: 18, Best val_loss: 1.2033185958862305
Run 7, Best epoch: 84, Best val_loss: 1.5075314044952393
Run 8, Best epoch: 36, Best val_loss: 1.4753810167312622
Run 9, Best epoch: 45, Best val_loss: 1.5695900917053223
Run 10, Best epoch: 25, Best val_loss: 1.233418345451355
Run 11, Best epoch: 19, Best val_loss: 1.5781532526016235
Run 12, Best epoch: 73, Best val_loss: 0.6620965003967285
Run 13, Best epoch: 3, Best val_loss: 0.8700145483016968
Run 14, Best epoch: 31, Best val_loss: 1.600386142730713
Run 15, Best epoch: 28, Best val_loss: 0.8401522636413574
Run 16, Best epoch: 28, Best val_loss: 1.234616994857788
Run 17, Best epoch: 38, Best val_loss: 0.8828141689300537
Run 18, Best epoch: 0, Best val_loss: 0.6841084361076355
Run 19, Best epoch: 9, Best val_loss: 0.8410961627960205
Run 20, Best epoch: 892, Best val_loss: 1.4964040517807007
