Run 1, Best epoch: 185, Best val_loss: 1.176535964012146
Run 2, Best epoch: 81, Best val_loss: 1.5223348140716553
Run 3, Best epoch: 280, Best val_loss: 0.6491837501525879
Run 4, Best epoch: 430, Best val_loss: 1.519027590751648
Run 5, Best epoch: 21, Best val_loss: 0.6326946020126343
Run 6, Best epoch: 104, Best val_loss: 1.158854365348816
Run 7, Best epoch: 160, Best val_loss: 1.4863619804382324
Run 8, Best epoch: 252, Best val_loss: 1.4295156002044678
Run 9, Best epoch: 84, Best val_loss: 1.5579012632369995
Run 10, Best epoch: 627, Best val_loss: 1.2165576219558716
Run 11, Best epoch: 534, Best val_loss: 1.553151249885559
Run 12, Best epoch: 37, Best val_loss: 0.6371515989303589
Run 13, Best epoch: 5, Best val_loss: 0.8847631812095642
Run 14, Best epoch: 16, Best val_loss: 1.5614824295043945
Run 15, Best epoch: 44, Best val_loss: 0.8292863368988037
Run 16, Best epoch: 104, Best val_loss: 1.1937885284423828
Run 17, Best epoch: 14, Best val_loss: 0.8579211235046387
Run 18, Best epoch: 19, Best val_loss: 0.6853314638137817
Run 19, Best epoch: 8, Best val_loss: 0.8166614174842834
Run 20, Best epoch: 16, Best val_loss: 1.580503225326538
