Run 1, Best epoch: 177, Best val_loss: 2.9079673290252686
Run 2, Best epoch: 4, Best val_loss: 7.434570789337158
Run 3, Best epoch: 18, Best val_loss: 1.0763508081436157
Run 4, Best epoch: 289, Best val_loss: 7.035166263580322
Run 5, Best epoch: 184, Best val_loss: 1.0192259550094604
Run 6, Best epoch: 806, Best val_loss: 2.806337594985962
Run 7, Best epoch: 58, Best val_loss: 3.9867801666259766
Run 8, Best epoch: 563, Best val_loss: 6.162439346313477
Run 9, Best epoch: 269, Best val_loss: 4.648860454559326
Run 10, Best epoch: 371, Best val_loss: 2.8737378120422363
Run 11, Best epoch: 325, Best val_loss: 4.466691493988037
Run 12, Best epoch: 463, Best val_loss: 1.001799464225769
Run 13, Best epoch: 16, Best val_loss: 1.6784392595291138
Run 14, Best epoch: 21, Best val_loss: 7.2148847579956055
Run 15, Best epoch: 60, Best val_loss: 1.5560678243637085
Run 16, Best epoch: 81, Best val_loss: 2.8434982299804688
Run 17, Best epoch: 32, Best val_loss: 1.6580480337142944
Run 18, Best epoch: 219, Best val_loss: 1.1191431283950806
Run 19, Best epoch: 43, Best val_loss: 1.5503026247024536
Run 20, Best epoch: 639, Best val_loss: 4.452893257141113
