Run 1, Best epoch: 35, Best val_loss: 2.8047096729278564
Run 2, Best epoch: 83, Best val_loss: 7.371577739715576
Run 3, Best epoch: 97, Best val_loss: 0.95899498462677
Run 4, Best epoch: 143, Best val_loss: 6.83257532119751
Run 5, Best epoch: 46, Best val_loss: 0.9000090956687927
Run 6, Best epoch: 25, Best val_loss: 2.6662137508392334
Run 7, Best epoch: 22, Best val_loss: 3.9471678733825684
Run 8, Best epoch: 600, Best val_loss: 5.968626499176025
Run 9, Best epoch: 35, Best val_loss: 4.676294803619385
Run 10, Best epoch: 98, Best val_loss: 2.8452866077423096
Run 11, Best epoch: 10, Best val_loss: 4.418286323547363
Run 12, Best epoch: 98, Best val_loss: 0.970091700553894
Run 13, Best epoch: 4, Best val_loss: 1.7791838645935059
Run 14, Best epoch: 5, Best val_loss: 7.318716526031494
Run 15, Best epoch: 20, Best val_loss: 1.5706095695495605
Run 16, Best epoch: 19, Best val_loss: 2.720767021179199
Run 17, Best epoch: 24, Best val_loss: 1.6445339918136597
Run 18, Best epoch: 63, Best val_loss: 1.00534188747406
Run 19, Best epoch: 6, Best val_loss: 1.6559714078903198
Run 20, Best epoch: 8, Best val_loss: 4.435675621032715
