Run 1, Best epoch: 96, Best val_loss: 2.721529245376587
Run 2, Best epoch: 276, Best val_loss: 7.041853427886963
Run 3, Best epoch: 47, Best val_loss: 0.9835937023162842
Run 4, Best epoch: 7, Best val_loss: 7.185629844665527
Run 5, Best epoch: 47, Best val_loss: 0.8891699314117432
Run 6, Best epoch: 26, Best val_loss: 2.612140417098999
Run 7, Best epoch: 14, Best val_loss: 4.018918514251709
Run 8, Best epoch: 189, Best val_loss: 5.661279201507568
Run 9, Best epoch: 137, Best val_loss: 4.596331596374512
Run 10, Best epoch: 41, Best val_loss: 2.8599557876586914
Run 11, Best epoch: 11, Best val_loss: 4.393336772918701
Run 12, Best epoch: 221, Best val_loss: 0.9475633502006531
Run 13, Best epoch: 36, Best val_loss: 1.6790615320205688
Run 14, Best epoch: 715, Best val_loss: 7.116459369659424
Run 15, Best epoch: 28, Best val_loss: 1.5246012210845947
Run 16, Best epoch: 24, Best val_loss: 2.758937120437622
Run 17, Best epoch: 38, Best val_loss: 1.5652079582214355
Run 18, Best epoch: 118, Best val_loss: 1.0049033164978027
Run 19, Best epoch: 24, Best val_loss: 1.491971731185913
Run 20, Best epoch: 12, Best val_loss: 4.198421478271484
