Run 1, Best epoch: 527, Best val_loss: 1.1948384046554565
Run 2, Best epoch: 705, Best val_loss: 1.524532437324524
Run 3, Best epoch: 7, Best val_loss: 0.6683536171913147
Run 4, Best epoch: 458, Best val_loss: 1.5482430458068848
Run 5, Best epoch: 7, Best val_loss: 0.6594644784927368
Run 6, Best epoch: 670, Best val_loss: 1.180688500404358
Run 7, Best epoch: 937, Best val_loss: 1.4818110466003418
Run 8, Best epoch: 571, Best val_loss: 1.4749001264572144
Run 9, Best epoch: 158, Best val_loss: 1.5487560033798218
Run 10, Best epoch: 482, Best val_loss: 1.2346875667572021
Run 11, Best epoch: 988, Best val_loss: 1.5856919288635254
Run 12, Best epoch: 435, Best val_loss: 0.670221209526062
Run 13, Best epoch: 5, Best val_loss: 0.8699648976325989
Run 14, Best epoch: 17, Best val_loss: 1.6029404401779175
Run 15, Best epoch: 7, Best val_loss: 0.8503856658935547
Run 16, Best epoch: 568, Best val_loss: 1.1898043155670166
Run 17, Best epoch: 3, Best val_loss: 0.8887030482292175
Run 18, Best epoch: 5, Best val_loss: 0.7095642685890198
Run 19, Best epoch: 14, Best val_loss: 0.8380491733551025
Run 20, Best epoch: 115, Best val_loss: 1.5685526132583618
