Run 1, Best epoch: 790, Best val_loss: 1.2310694456100464
Run 2, Best epoch: 826, Best val_loss: 1.5520464181900024
Run 3, Best epoch: 11, Best val_loss: 0.696907103061676
Run 4, Best epoch: 231, Best val_loss: 1.548879623413086
Run 5, Best epoch: 153, Best val_loss: 0.6504054069519043
Run 6, Best epoch: 404, Best val_loss: 1.238371729850769
Run 7, Best epoch: 75, Best val_loss: 1.5419304370880127
Run 8, Best epoch: 542, Best val_loss: 1.4301313161849976
Run 9, Best epoch: 301, Best val_loss: 1.5478025674819946
Run 10, Best epoch: 393, Best val_loss: 1.2235089540481567
Run 11, Best epoch: 69, Best val_loss: 1.5949397087097168
Run 12, Best epoch: 253, Best val_loss: 0.6210961937904358
Run 13, Best epoch: 10, Best val_loss: 0.8654103875160217
Run 14, Best epoch: 42, Best val_loss: 1.60691237449646
Run 15, Best epoch: 148, Best val_loss: 0.8393966555595398
Run 16, Best epoch: 350, Best val_loss: 1.2487215995788574
Run 17, Best epoch: 160, Best val_loss: 0.8813799023628235
Run 18, Best epoch: 176, Best val_loss: 0.7160570621490479
Run 19, Best epoch: 97, Best val_loss: 0.8318113088607788
Run 20, Best epoch: 64, Best val_loss: 1.572094202041626
