Run 1, Best epoch: 1391, Best val_loss: 1.2269777059555054
Run 2, Best epoch: 458, Best val_loss: 1.5683507919311523
Run 3, Best epoch: 0, Best val_loss: 0.6795634627342224
Run 4, Best epoch: 668, Best val_loss: 1.569973349571228
Run 5, Best epoch: 179, Best val_loss: 0.6481980085372925
Run 6, Best epoch: 549, Best val_loss: 1.2600346803665161
Run 7, Best epoch: 657, Best val_loss: 1.5567653179168701
Run 8, Best epoch: 925, Best val_loss: 1.439078688621521
Run 9, Best epoch: 617, Best val_loss: 1.576881766319275
Run 10, Best epoch: 768, Best val_loss: 1.2555254697799683
Run 11, Best epoch: 808, Best val_loss: 1.5921725034713745
Run 12, Best epoch: 545, Best val_loss: 0.6260870695114136
Run 13, Best epoch: 33, Best val_loss: 0.865447998046875
Run 14, Best epoch: 44, Best val_loss: 1.6119946241378784
Run 15, Best epoch: 329, Best val_loss: 0.8442440032958984
Run 16, Best epoch: 572, Best val_loss: 1.2603343725204468
Run 17, Best epoch: 594, Best val_loss: 0.8745986819267273
Run 18, Best epoch: 0, Best val_loss: 0.697960376739502
Run 19, Best epoch: 81, Best val_loss: 0.8304495811462402
Run 20, Best epoch: 960, Best val_loss: 1.5831466913223267
