Run 1, Best epoch: 392, Best val_loss: 2.8224000930786133
Run 2, Best epoch: 972, Best val_loss: 7.354407787322998
Run 3, Best epoch: 732, Best val_loss: 1.0540885925292969
Run 4, Best epoch: 370, Best val_loss: 6.986987113952637
Run 5, Best epoch: 420, Best val_loss: 1.0804588794708252
Run 6, Best epoch: 271, Best val_loss: 2.857311248779297
Run 7, Best epoch: 371, Best val_loss: 3.8667213916778564
Run 8, Best epoch: 369, Best val_loss: 6.202212810516357
Run 9, Best epoch: 6, Best val_loss: 4.772409439086914
Run 10, Best epoch: 643, Best val_loss: 2.94020676612854
Run 11, Best epoch: 15, Best val_loss: 4.372540473937988
Run 12, Best epoch: 661, Best val_loss: 1.0529342889785767
Run 13, Best epoch: 5, Best val_loss: 1.7496603727340698
Run 14, Best epoch: 2, Best val_loss: 7.32694673538208
Run 15, Best epoch: 18, Best val_loss: 1.6749640703201294
Run 16, Best epoch: 19, Best val_loss: 2.8919498920440674
Run 17, Best epoch: 8, Best val_loss: 1.7336170673370361
Run 18, Best epoch: 412, Best val_loss: 1.1954214572906494
Run 19, Best epoch: 10, Best val_loss: 1.6362051963806152
Run 20, Best epoch: 13, Best val_loss: 4.4141130447387695
