Run 1, Best epoch: 381, Best val_loss: 2.9966256618499756
Run 2, Best epoch: 10, Best val_loss: 7.364840507507324
Run 3, Best epoch: 476, Best val_loss: 1.1514617204666138
Run 4, Best epoch: 292, Best val_loss: 7.1917901039123535
Run 5, Best epoch: 756, Best val_loss: 0.8838568925857544
Run 6, Best epoch: 281, Best val_loss: 2.7575650215148926
Run 7, Best epoch: 176, Best val_loss: 4.104968547821045
Run 8, Best epoch: 1005, Best val_loss: 5.569948196411133
Run 9, Best epoch: 40, Best val_loss: 4.786457538604736
Run 10, Best epoch: 387, Best val_loss: 3.223240613937378
Run 11, Best epoch: 56, Best val_loss: 4.461380481719971
Run 12, Best epoch: 870, Best val_loss: 0.9761573076248169
Run 13, Best epoch: 37, Best val_loss: 1.7564284801483154
Run 14, Best epoch: 19, Best val_loss: 7.34458065032959
Run 15, Best epoch: 186, Best val_loss: 1.6137161254882812
Run 16, Best epoch: 339, Best val_loss: 2.7898147106170654
Run 17, Best epoch: 212, Best val_loss: 1.6826075315475464
Run 18, Best epoch: 777, Best val_loss: 1.1217753887176514
Run 19, Best epoch: 195, Best val_loss: 1.572901964187622
Run 20, Best epoch: 59, Best val_loss: 4.476752281188965
