Run 1, Best epoch: 536, Best val_loss: 3.0713658332824707
Run 2, Best epoch: 24, Best val_loss: 7.371730327606201
Run 3, Best epoch: 613, Best val_loss: 1.1465353965759277
Run 4, Best epoch: 306, Best val_loss: 7.211799144744873
Run 5, Best epoch: 268, Best val_loss: 0.9266231060028076
Run 6, Best epoch: 441, Best val_loss: 2.7941784858703613
Run 7, Best epoch: 977, Best val_loss: 4.0106000900268555
Run 8, Best epoch: 835, Best val_loss: 5.988267421722412
Run 9, Best epoch: 53, Best val_loss: 4.779489517211914
Run 10, Best epoch: 795, Best val_loss: 3.117734432220459
Run 11, Best epoch: 137, Best val_loss: 4.383485794067383
Run 12, Best epoch: 331, Best val_loss: 0.9823737740516663
Run 13, Best epoch: 52, Best val_loss: 1.7440847158432007
Run 14, Best epoch: 43, Best val_loss: 7.3510823249816895
Run 15, Best epoch: 176, Best val_loss: 1.5837674140930176
Run 16, Best epoch: 433, Best val_loss: 2.9146225452423096
Run 17, Best epoch: 221, Best val_loss: 1.6934309005737305
Run 18, Best epoch: 223, Best val_loss: 1.126607894897461
Run 19, Best epoch: 232, Best val_loss: 1.5267897844314575
Run 20, Best epoch: 281, Best val_loss: 4.377754211425781
