Run 1, Best epoch: 123, Best val_loss: 1.2133755683898926
Run 2, Best epoch: 87, Best val_loss: 1.5335837602615356
Run 3, Best epoch: 1, Best val_loss: 0.6684207320213318
Run 4, Best epoch: 132, Best val_loss: 1.562960147857666
Run 5, Best epoch: 24, Best val_loss: 0.6266403198242188
Run 6, Best epoch: 207, Best val_loss: 1.1959859132766724
Run 7, Best epoch: 46, Best val_loss: 1.517746090888977
Run 8, Best epoch: 254, Best val_loss: 1.437192440032959
Run 9, Best epoch: 131, Best val_loss: 1.5794068574905396
Run 10, Best epoch: 184, Best val_loss: 1.2452623844146729
Run 11, Best epoch: 14, Best val_loss: 1.572367787361145
Run 12, Best epoch: 59, Best val_loss: 0.62904292345047
Run 13, Best epoch: 6, Best val_loss: 0.8509377241134644
Run 14, Best epoch: 10, Best val_loss: 1.5718154907226562
Run 15, Best epoch: 70, Best val_loss: 0.8205524682998657
Run 16, Best epoch: 127, Best val_loss: 1.220762014389038
Run 17, Best epoch: 66, Best val_loss: 0.8650071620941162
Run 18, Best epoch: 1, Best val_loss: 0.665449321269989
Run 19, Best epoch: 12, Best val_loss: 0.8214206099510193
Run 20, Best epoch: 12, Best val_loss: 1.592279076576233
