run	training	validation	test	best_epoch	PCC_tr_best	MSE_tr_best	PCC_v_best	MSE_v_best	PCC_test_best	MSE_test_best	last_epoch	PCC_tr_last	MSE_tr_last	PCC_v_last	MSE_v_last	PCC_test_last	MSE_test_last
1	0 1 2	3	4	589	0.708	0.708	0.473	2.723	0.068	7.692	689	0.737	1.198	0.44	2.879	0.084	7.687
2	0 1 2	4	3	327	0.712	0.712	0.229	7.047	0.447	2.853	610	0.764	1.122	0.107	7.625	0.422	2.959
3	0 1 3	2	4	352	0.72	0.72	0.443	0.971	0.138	7.39	620	0.743	1.6	0.418	1.08	0.075	7.786
4	0 1 3	4	2	219	0.714	0.714	0.238	6.956	0.432	0.982	737	0.727	1.682	0.072	7.733	0.407	1.047
5	0 1 4	2	3	18	0.371	0.371	0.476	0.904	0.49	3.109	659	0.746	2.074	0.401	1.184	0.425	2.984
6	0 1 4	3	2	46	0.552	0.552	0.521	2.659	0.47	0.97	766	0.699	2.371	0.422	3.028	0.394	1.104
7	0 2 3	1	4	28	0.503	0.503	0.423	4.017	0.38	6.389	601	0.761	0.916	0.311	4.507	0.262	6.857
8	0 2 3	4	1	248	0.705	0.705	0.435	5.974	0.36	4.447	638	0.727	1.039	0.348	6.466	0.324	4.516
9	0 2 4	1	3	467	0.658	0.658	0.371	4.399	0.419	3.057	661	0.722	1.616	0.362	4.695	0.414	3.211
10	0 2 4	3	1	81	0.644	0.644	0.494	2.858	0.333	4.614	685	0.76	1.54	0.388	3.152	0.354	4.622
11	0 3 4	1	2	17	0.397	0.397	0.329	4.396	0.447	0.949	622	0.738	2.039	0.314	4.748	0.419	1.058
12	0 3 4	2	1	72	0.535	0.535	0.455	0.927	0.321	4.863	639	0.728	1.994	0.39	1.144	0.343	4.965
13	1 2 3	0	4	21	0.485	0.485	0.35	1.609	0.108	7.357	698	0.767	1.291	0.328	2.326	0.075	8.108
14	1 2 3	4	0	638	0.799	0.799	0.215	7.282	0.318	2.26	738	0.759	1.338	0.189	7.432	0.312	2.304
15	1 2 4	0	3	25	0.516	0.516	0.387	1.532	0.498	2.741	662	0.773	1.839	0.259	2.065	0.354	3.521
16	1 2 4	3	0	24	0.501	0.501	0.496	2.695	0.359	1.602	641	0.755	1.896	0.372	3.461	0.258	2.144
17	1 3 4	0	2	27	0.508	0.508	0.363	1.588	0.365	1.044	621	0.784	1.922	0.272	2.13	0.297	1.255
18	1 3 4	2	0	28	0.47	0.47	0.363	1.022	0.368	1.557	648	0.732	2.423	0.222	1.44	0.275	2.162
19	2 3 4	0	1	15	0.458	0.458	0.41	1.491	0.347	4.609	608	0.78	1.647	0.325	1.976	0.298	5.362
20	2 3 4	1	0	16	0.497	0.497	0.333	4.346	0.408	1.542	622	0.764	1.662	0.324	5.071	0.339	1.963
